Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-2,36122762587781E-18","-3,93537937646302E-19","0,0815294256931801",0,0,0,"0,403566371669411","0,000951289819173348","-1,07533479631894E-19","-5,25984835922691E-20","0,00100569106917335","-8,08622793432171E-21","0,000168552823672512",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/base_link.STL,,unterarm_vereinfacht-1,base_system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
palm_link,"0,000137638473861338","-0,00428767568752875","0,0545058625065118",0,0,0,"0,0765362216961075","0,000161080254530765","5,25642766934462E-08","-1,1122683473908E-06","0,000115373426183941","4,62313329070689E-06","4,92288030967418E-05",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/palm_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/palm_link.STL,,Hand-1/Teil1_Handflaeche_unten-1;Hand-1/Teil1_Handflaeche_3-1;Hand-1/Stopfer-2;Hand-1/Stopfer-3;Hand-1/Stopfer-1,palm_system,,palm_joint,revolute,0,0,"0,168",0,0,"1,5708",base_link,0,0,1,0,0,0,0,,,,,,,,
pinky_link,"0,0017820549626365","-0,000613293176069961","0,0163336690442433",0,0,0,"0,00284841498916435","2,89069230552967E-07","2,30953150442523E-09","-1,78553709799799E-08","2,99964229191471E-07","2,91987211415557E-08","1,49822130411684E-07",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/pinky_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/pinky_link.STL,,Hand-1/Kleiner_Finger_1-1,pinky_system,,pinky_joint,revolute,"0,00053238","-0,04071","0,10826",0,0,"-1,5708",palm_link,1,0,0,0,0,0,0,,,,,,,,
pinky_mimic_link,"0,001108703721593","0,0045741665917135","0,014620949600652",0,0,0,"0,00562690939472701","7,101549995922E-07","-9,17469905740974E-09","-3,71039596021405E-08","6,30896238954216E-07","-1,56604741692031E-07","2,30295778229682E-07",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/pinky_mimic_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/pinky_mimic_link.STL,,Hand-1/Kleiner_Finger_2-1,pinky_mimic_system,,pinky_mimic_joint,revolute,"0,0034275","0,00025066","0,032821",0,0,0,pinky_link,1,0,0,0,0,0,0,,,,,,,,
ring_link,"0,00142294173005185","-0,00129072154615227","0,0203579955343289",0,0,0,"0,00382261211395928","5,5202198701161E-07","5,14714557279812E-09","-2,55389597661868E-08","5,69468033035362E-07","7,35455548545626E-08","1,87705913426682E-07",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/ring_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/ring_link.STL,,Hand-1/Ringfinger_1-1,ring_system,,ring_joint,revolute,"0,00016823","-0,01558","0,11536",0,0,"-1,5708",palm_link,1,0,0,0,0,0,0,,,,,,,,
ring_mimic_link,"0,00114593130837312","0,00971703582685566","0,0156976568866269",0,0,0,"0,00635546550003613","9,81246469917228E-07","-2,51179183410803E-08","-3,63935893335392E-08","6,8606976657274E-07","-3,59092627396867E-07","4,6569199688549E-07",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/ring_mimic_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/ring_mimic_link.STL,,Hand-1/Ringfinger_2-1,ring_mimic_system,,ring_mimic_joint,revolute,"0,00286",0,"0,0409",0,0,0,ring_link,1,0,0,0,0,0,0,,,,,,,,
middle_link,"0,00040561519406054","-0,00143109939675033","0,0232048672174193",0,0,0,"0,00435101487895161","7,37234099557229E-07","1,59808182059263E-09","-9,37016819913441E-09","7,60393826704403E-07","9,11626914346312E-08","2,06162513305201E-07",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/middle_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/middle_link.STL,,Hand-1/Mittelfinger_1-1,middle_system,,middle_joint,revolute,"0,00016823","0,0072093","0,11515",0,0,"-1,5708",palm_link,1,0,0,0,0,0,0,,,,,,,,
middle_mimic_link,"0,000345295830107457","0,0127273362711506","0,017012076660915",0,0,0,"0,00710270866127889","1,29588990900105E-06","-9,12339135108535E-09","-1,07891576281314E-08","7,9717380163647E-07","-5,20228611199478E-07","6,88150500246118E-07",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/middle_mimic_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/middle_mimic_link.STL,,Hand-1/Mittelfinger_2-1,middle_mimic_system,,middle_mimic_joint,revolute,"0,00080281",0,"0,045993",0,0,0,middle_link,1,0,0,0,0,0,0,,,,,,,,
pointer_link,"-4,46665277924196E-08","-0,0014597840450139","0,0231866899386781",0,0,0,"0,00430054577129335","7,26809156394049E-07","-5,764573167025E-12","-3,33068282933426E-12","7,51246448794758E-07","8,87861916234826E-08","2,02703110164293E-07",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/pointer_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/pointer_link.STL,,Hand-1/Zeigefinger_1-1,pointer_system,,pointer_joint,revolute,"0,00016729","0,028465","0,1106",0,0,"-1,5708",palm_link,1,0,0,0,0,0,0,,,,,,,,
pointer_mimic_link,"4,83338837181067E-05","0,0094810874779204","0,0159732580922908",0,0,0,"0,00632636073888433","9,74252336731948E-07","-7,16546854696862E-12","-1,51928793858106E-10","6,89677632645022E-07","-3,53352679409106E-07","4,49289688683031E-07",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/pointer_mimic_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/pointer_mimic_link.STL,,Hand-1/Zeigefinger_2-1,pointer_mimic_system,,pointer_mimic_joint,revolute,0,0,"0,046",0,0,0,pointer_link,1,0,0,0,0,0,0,,,,,,,,
thumb_swivel_link,"-0,0240609552040626","0,000537100663146885","0,00573428571376206",0,0,0,"0,00807597668556131","1,08043710320532E-06","1,68624171132001E-07","1,08772170504102E-06","3,03147252079576E-06","-1,34639716373521E-07","2,48856447081332E-06",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/thumb_swivel_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/thumb_swivel_link.STL,,Hand-1/Teil2_Daumen_Gehäuse_2-1;Hand-1/Teil2_Daumen_Gehäuse-1,thumb_swivel_system,,thumb_swivel_joint,revolute,"0,0022482","0,0086241","0,033795",0,0,"-1,5708",palm_link,0,0,1,0,0,0,0,,,,,,,,
thumb_link,"0,0256273064262082","-0,00431444754602431","4,34295689258346E-07",0,0,0,"0,00621086328026103","3,16321134231842E-07","-1,30190480627785E-07","1,58690548652609E-11","2,36922113077845E-06","-8,246517082752E-12","2,34094726755801E-06",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/thumb_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/thumb_link.STL,,Hand-1/Daumen_1-1,thumb_system,,thumb_joint,revolute,"-0,052668","0,0037572","0,02242","1,7695","-0,48108","3,0361",thumb_swivel_link,0,0,1,0,0,0,0,,,,,,,,
thumb_mimic_link,"-0,00895194995208004","-0,00630026646699922","-0,000131518860607249",0,0,0,"0,00432808679097275","1,19629651941025E-07","-1,00661494397318E-08","-3,96031076910321E-09","4,16050123473635E-07","-8,42552917910592E-11","4,31485445387053E-07",0,0,0,0,0,0,package://EZARM.SLDASM/meshes/thumb_mimic_link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://EZARM.SLDASM/meshes/thumb_mimic_link.STL,,Hand-1/Daumen_2-1,thumb_mimic_system,,thumb_mimic_joint,revolute,"0,057532","0,0040526",0,"-3,1416","-0,01399","3,1416",thumb_link,0,0,1,0,0,0,0,,,,,,,,
